                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6993,                 1.6922,                 1.5575,                0.45024,                 0.9224,                0.52984,                 0.2819,                 1.4392,                 5.1141,                 1.3497,                0.00048,                0.00048,                0.00048
                      2,                  1.231,                 1.0539,                 1.2078,                0.18681,                0.23074,                0.10533,                0.03348,                 3.6316,                 7.2234,                 3.1464,              0.0009606,              0.0009606,              0.0009606
                      3,                 1.2271,                 1.0071,                  1.197,                0.09597,                0.47877,                0.11216,                0.03595,                 2.6368,                 18.253,                 2.6004,              0.0014214,              0.0014214,              0.0014214
                      4,                 1.2303,                0.97244,                 1.1897,                 0.5146,                0.70471,                0.61799,                0.31328,                 1.6636,                 2.2714,                 1.5259,              0.0018624,              0.0018624,              0.0018624
                      5,                 1.1908,                0.91206,                 1.1767,                0.74139,                0.83947,                0.78311,                0.45972,                 1.2793,                  1.221,                 1.2839,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.1503,                0.87501,                 1.1593,                0.78821,                0.82826,                0.84479,                0.49721,                 1.3874,                 1.4972,                 1.5263,              0.0018416,              0.0018416,              0.0018416
                      7,                  1.098,                0.86103,                 1.1218,                0.73764,                0.79356,                0.83294,                0.55192,                 1.1837,                  1.552,                 1.1572,               0.001802,               0.001802,               0.001802
                      8,                 1.1243,                0.85091,                 1.1253,                0.78607,                0.72182,                0.79763,                0.43514,                 1.3822,                 1.0891,                 1.2253,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.1088,                0.84229,                 1.1152,                0.66256,                0.64714,                 0.6863,                0.37986,                 1.4557,                 1.2613,                 1.3055,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.0552,                0.78146,                 1.1113,                0.80773,                0.93704,                0.86933,                0.53377,                 1.2112,                0.85866,                 1.1352,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0179,                 0.7765,                 1.0819,                0.82025,                0.88862,                0.91523,                0.62456,                  1.119,                0.78974,                 1.1152,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.0195,                0.78008,                 1.0913,                0.87331,                0.89898,                0.93099,                0.64298,                  1.075,                0.76229,                 1.0904,               0.001604,               0.001604,               0.001604
                     13,                0.97037,                0.75471,                 1.0684,                0.84189,                0.89019,                0.91032,                0.60679,                 1.1639,                0.75715,                 1.1012,              0.0015644,              0.0015644,              0.0015644
                     14,                0.93289,                0.70623,                 1.0449,                0.86269,                0.90483,                0.94386,                0.66081,                 1.0367,                0.68132,                 1.0709,              0.0015248,              0.0015248,              0.0015248
                     15,                0.91526,                0.66681,                 1.0291,                0.87271,                0.91362,                0.92146,                0.64378,                 1.0703,                0.79866,                 1.0547,              0.0014852,              0.0014852,              0.0014852
                     16,                0.92617,                0.68578,                 1.0344,                0.84902,                0.95754,                0.94236,                0.62405,                  1.069,                0.72284,                 1.0957,              0.0014456,              0.0014456,              0.0014456
                     17,                0.91734,                0.66464,                 1.0371,                0.84361,                0.93265,                0.92701,                0.63886,                  1.099,                0.76141,                 1.0479,               0.001406,               0.001406,               0.001406
                     18,                0.88849,                0.66029,                 1.0227,                0.89384,                0.95608,                0.94584,                0.67089,                 1.0356,                0.65514,                 1.0407,              0.0013664,              0.0013664,              0.0013664
                     19,                0.87619,                0.63048,                 1.0168,                0.79958,                 0.9634,                0.90181,                0.63886,                 1.0285,                0.79212,                 1.0863,              0.0013268,              0.0013268,              0.0013268
